formula,formation energy,Mpid,SpaceGroup
Sc(H2PO4)3,-2.29,mp-696457,R3c
Mg2Mo3O8,-2.29,mp-19139,P63mc
Rb2TbO3,-2.29,mp-13735,Cmc2_1
Rb2PuCl6,-2.29,mp-29336,P63mc
LiSc(Mo3O8),-2.3,mp-19433,P3m1
KLi(SO4),-2.31,mp-6800,P31c
Na15(SO4)5F4Cl,-2.34,mp-554285,P31m
Ba3CuSb2O9,-2.34,mp-17145,P63mc
Na(V2O5),-2.34,mp-1180149,Pmn2_1
Na21(SO4)7F6Cl,-2.36,mp-680169,P31m
Cs3(Mo5P7O24),-2.36,mp-572886,P31c
KSn4(PO4)3,-2.37,mp-6755,R3c
LiY(Mo3O8),-2.38,mp-19431,P3m1
Pb(V6O11),-2.39,mp-619128,P6₃mc
V6O13,-2.39,mp-1196958,P1c1
Mn2(PO4)Cl,-2.4,mp-558402,Pna2_1
K3(V5O14),-2.41,mp-27704,P31m
Ba3NiSb2O9,-2.41,mp-18611,P63mc
Na(V2O5),-2.41,mp-760908,Pnma
Mn6(PO4)4(H2O),-2.41,mp-859125,C1C1
P2O5,-2.43,mp-2173,Pnma
Ga3PO7,-2.43,mp-3107,R3m
Zn2(VO)(PO4)2,-2.44,mp-556898,I4cm
Rb2(VO)(V2O7),-2.45,mp-510519,P4bm
K2V3O8,-2.45,mp-16787,P4bm
Cs3(Mo5P6O25),-2.46,mp-560938,P31c
CaHClO,-2.46,mp-642725,P63mc
Cd2(Nb2O7),-2.47,mp-560530,Ima2
BaYFeCuO5,-2.47,mp-505589,P4mm
BaMnO3,-2.48,mp-19267,P6₃cm
Na2Al2Si3O10(H2O)3,-2.48,mp-1199031,C1C1
LuBaCuFeO5,-2.49,mp-611378,P4mm
Zn(PO3)2,-2.49,mp-558930,C1c1
VPO5,-2.5,mp-1046704,C1c1
PO(OPF2)3,-2.51,mp-565711,P3c1
Fe3(ClB7O13),-2.52,mp-556300,R3c
Ag2(Nb4O11),-2.53,mp-984755,R3c
In(PO3)3,-2.55,mp-14535,C1c1
Ba5Re3NO18,-2.56,mp-555095,P6₃cm
La4NS3Cl3,-2.56,mp-559256,P6₃mc
Zn3(B7O13)Cl,-2.57,mp-23609,R3c
Ba(MoO)2O(P2O7)(PO4),-2.57,mp-555195,C1c1
Mg3(Si2O5)(OH)4,-2.59,mp-24097,P6₃cm
Mg(VO3),-2.59,mp-1079330,Cmc2_1
Sr(V6O11),-2.59,mp-16974,P6₃mc
Mg3Si2O5(OH)4,-2.59,mp-24097,P6₃mc
Mg(VO3),-2.59,mp-1079330,Cmc2_1
LiKZn(P2O7),-2.6,mp-554164,Pmc2_1
Na2(VP2O8),-2.6,mp-19329,P4bm
K2Zn(PO3)4,-2.6,mp-1019791,C1c1
Al2Si2O5(OH)4,-2.61,mp-1198588,C1c1
LiKZn(P2O7),-2.61,mp-554164,Pmc2_1
Al2(Si2O5(OH)4),-2.61,mp-721216,C1c1
KBa3Ca4Cu3V7O28,-2.62,mp-557801,P6₃mc
Ca(Al2Si3O10)(H2O)3,-2.63,mp-707746,C1c1
Gd2(MoO4)3,-2.64,mp-3572,Pba2
Sr18Ca3Cr14O56,-2.65,mp-1219532,R3
VOPO4,-2.65,mp-25265,Pnma
La4Cu3MoO12,-2.68,mp-1203941,P1m1
NaSc(HPO4)2,-2.68,mp-779682,C1C1
Zr(HPO4)2,-2.69,mp-707540,I4₁cd
Na3La(VO4)2,-2.69,mp-558512,Pca2_1
TlNbB2O6,-2.69,mp-559057,Pna2_1
Ca3(AsO4)2,-2.7,mp-530449,R3
U(TeO5),-2.7,mp-1193709,Pca2_1
NaBe4SbO7,-2.71,mp-8075,P6₃mc
Na2(NiFeF7),-2.71,mp-561395,Imm2
Pb(TiO3),-2.73,mp-20459,P4mm
Ba2(CrO4),-2.73,mp-561426,Pna2_1
Pb(Nb2O6),-2.74,mp-1221063,P1m1
LiFe2F6,-2.76,mp-557403,P4₂nm
ScBiO3,-2.78,mp-756205,Pnma
BaCs4(PO3)6,-2.78,mp-560944,P31c
Ba5Li2(WO5)3,-2.78,mp-557816,P6₃mc
Ba5Re3ClO15,-2.79,mp-556647,P6₃mc
K2(FeF5),-2.8,mp-554621,Pna2_1
Li2(B4O7),-2.81,mp-4779,I4₁cd
Li(B3O5),-2.81,mp-3660,Pna2_1
Cs2Mg2(P6O18),-2.81,mp-1229321,P1c1
Pb5Ga3F19,-2.82,mp-556117,I4cm
NdBaCuO2(BO3),-2.84,mp-10350,P4bm
Na(NbO3),-2.84,mp-4514,R3c
KMn2Zn3(Si2O5)6,-2.84,mp-704116,P6cc
Sr4(Ga2O7),-2.85,mp-1204230,P1c1
LaBaCuO2(BO3),-2.86,mp-14970,P4bm
K(NbO3),-2.86,mp-4342,P4mm
BaCuSi2O6,-2.87,mp-1197716,I4₁cd
K3(B2Nb3O12),-2.88,mp-558828,P31m
Li2(SiO3),-2.88,mp-5012,Cmc2_1
